t1,t2,r,x,n_peak,g_sum,g_ss,rhits
5,10,1.5,20,2218424,103258.02499998464,202585124.39687532,1023654
5,20,1.5,20,3660504,128462.84999997528,547066658.4424984,1706114
5,20,2.0,20,1111205,38261.72499999224,180054762.6681249,522970
5,20,2.5,20,377530,3805.1499999974167,59845678.43249999,177427
5,20,3.0,20,100529,-296.65000000054897,10350401.677500023,46958
5,20,3.5,20,36591,542.3999999998205,88529.64000000083,16687
5,40,1.5,20,3998854,120674.77499997376,611288489.576876,1874058
5,40,2.0,20,1703115,36729.17499998913,289150061.66562474,806082
5,40,2.5,20,789882,21470.47499999502,142685168.300625,375530
5,40,3.0,20,363453,-1913.3500000021259,68254502.18749994,173702
5,40,3.5,20,172925,-5193.55000000098,49121651.50750016,82995
5,40,4.0,20,73243,-4863.250000000556,20351426.47249998,35274
5,40,4.5,20,37760,-2011.9500000002881,10177479.392499974,18001
5,40,5.0,20,16748,-2897.9000000001697,10098802.98499999,7946
10,20,1.5,20,1403326,15822.399999991076,238102837.5550001,666048
10,40,1.5,20,3020801,66666.64999998333,389289399.07374954,1444550
10,40,2.0,20,732795,-11554.30000000426,150702089.67500022,354037
10,40,2.5,20,166400,-21564.05000000121,79113898.17249994,80361
10,40,3.0,20,26487,81.79999999963366,84662.51500000083,12720
10,40,3.5,20,4034,-9.29999999998563,9679.410000000153,1810
10,80,1.5,20,3518008,35328.99999997975,512643546.89625025,1687197
10,80,2.0,20,1308059,-7946.250000007416,162174607.91375008,633887
10,80,2.5,20,512741,-31429.675000002753,134121904.73062488,249798
10,80,3.0,20,200487,-39959.80000000092,124359750.13499998,98197
10,80,3.5,20,78698,-34305.8500000004,107193879.35749993,38503
10,80,4.0,20,28643,-28071.900000000194,88641898.06500003,13868
10,80,4.5,20,11309,-22168.100000000086,68505416.005,5480
10,80,5.0,20,3864,-18947.200000000048,60187250.38000001,1840
20,40,1.5,20,840498,-35536.250000004664,158494143.54374987,405698
20,80,1.5,20,2517038,-42148.9250000121,304025371.9093754,1220444
20,80,2.0,20,474580,-66581.75000000215,208894552.63625017,231495
20,80,2.5,20,68133,-45390.47500000028,138721799.73062515,33038
20,80,3.0,20,5672,-6078.2500000000355,18354156.752500005,2708
20,80,3.5,20,264,-18.700000000005275,755.8699999999994,115
20,160,1.5,20,2993057,-99955.22500001438,612845919.0568761,1453102
20,160,2.0,20,951593,-73629.27500000403,255886344.26687518,465429
20,160,2.5,20,310746,-77938.00000000137,229561696.38874972,152018
20,160,3.0,20,101785,-66372.45000000071,197139307.84625015,49523
20,160,3.5,20,31881,-62206.275000000125,180170035.55062518,16037
20,160,4.0,20,9474,-35030.27500000008,105197122.70562518,4840
20,160,4.5,20,2933,-28649.200000000023,88529337.04000007,1507
20,160,5.0,20,840,-28490.39999999999,88519441.68,420
30,60,1.5,20,616643,-78948.0500000035,250927182.15624988,298599
30,120,1.5,20,2186854,-62122.77500001029,461939584.44937444,1060851
30,120,2.0,20,347924,-90520.00000000189,320288141.71375006,169123
30,120,2.5,20,38564,-46636.37500000013,138607898.51062518,18935
30,120,3.0,20,2395,-28424.399999999983,88525512.78000003,1127
30,120,3.5,20,26,20.599999999998545,32.07999999999676,0
30,240,1.5,20,2765078,-102086.15000001267,752666591.9337497,1346132
30,240,2.0,20,814667,-88042.30000000364,599458074.1537511,399825
30,240,2.5,20,245052,-69956.77500000101,364833694.6456257,120831
30,240,3.0,20,72144,-74987.57500000004,317000743.7906248,36049
30,240,3.5,20,20091,-76851.04999999997,237421352.37249964,10219
30,240,4.0,20,5265,-60949.65000000007,180049570.31249997,2717
30,240,4.5,20,1370,-28853.700000000033,88524243.43000002,777
30,240,5.0,20,313,-28417.900000000023,88518693.71000002,164
