product,thr_ticks,minute,n,total_bp,mean_bp,median_bp,hit,t,top3_share,jan_total_bp,jan_n,feb_total_bp,feb_n
IC0000,5,09:31,31,-96.6,-3.12,-1.66,0.355,-1.94,0.68,-48.6,13,-48.0,18
IC0000,10,09:31,31,-96.6,-3.12,-1.66,0.355,-1.94,0.68,-48.6,13,-48.0,18
IC0000,15,09:31,22,-83.2,-3.78,-1.61,0.364,-1.92,0.79,-52.9,10,-30.3,12
IC0000,20,09:31,19,-88.4,-4.65,-2.04,0.316,-2.11,0.75,-57.2,9,-31.2,10
IM0000,5,09:31,31,-136.8,-4.41,-4.42,0.323,-2.22,0.61,-46.8,12,-90.0,19
IM0000,10,09:31,30,-152.0,-5.07,-4.43,0.3,-2.61,0.55,-62.0,11,-90.0,19
IM0000,15,09:31,29,-142.8,-4.92,-4.42,0.31,-2.46,0.58,-62.0,11,-80.8,18
IM0000,20,09:31,26,-113.6,-4.37,-4.0,0.346,-2.0,0.74,-37.2,9,-76.4,17
IC0000,5,09:34,29,102.4,3.53,3.47,0.724,2.21,0.59,52.3,12,50.1,17
IC0000,10,09:34,22,87.8,3.99,3.7,0.727,2.16,0.69,47.3,9,40.5,13
IC0000,15,09:34,17,86.6,5.1,3.97,0.824,2.31,0.7,56.4,7,30.2,10
IC0000,20,09:34,10,58.2,5.82,3.95,0.8,1.65,0.96,32.7,2,25.5,8
IM0000,5,09:34,32,104.6,3.27,2.92,0.688,1.91,0.7,59.1,13,45.5,19
IM0000,10,09:34,21,109.6,5.22,3.46,0.714,2.26,0.66,61.3,8,48.3,13
IM0000,15,09:34,16,80.9,5.06,4.05,0.75,1.75,0.83,61.3,8,19.6,8
IM0000,20,09:34,13,107.0,8.23,6.2,0.923,2.89,0.63,70.9,7,36.0,6
IC0000,5,13:37,27,-60.5,-2.24,-1.99,0.296,-2.67,0.47,-32.3,11,-28.2,16
IC0000,10,13:37,13,-22.9,-1.76,-1.77,0.308,-1.6,0.92,-22.3,5,-0.6,8
IC0000,15,13:37,9,-14.3,-1.59,-1.77,0.333,-1.18,1.22,-14.6,4,0.3,5
IC0000,20,13:37,4,-6.0,-1.51,-0.39,0.5,-0.81,1.26,-6.8,1,0.8,3
IM0000,5,13:37,27,-52.2,-1.93,-2.01,0.259,-1.83,0.6,-27.9,11,-24.2,16
IM0000,10,13:37,15,-34.0,-2.27,-2.19,0.267,-1.39,0.92,-15.3,5,-18.6,10
IM0000,15,13:37,8,-24.0,-3.0,-2.73,0.375,-1.15,1.21,-4.7,1,-19.3,7
IM0000,20,13:37,6,-25.4,-4.24,-3.99,0.333,-1.28,1.15,-4.7,1,-20.7,5
IC0000,5,13:51,24,-61.5,-2.56,-2.47,0.292,-2.59,0.49,-25.2,8,-36.3,16
IC0000,10,13:51,19,-51.3,-2.7,-2.55,0.316,-2.21,0.59,-21.0,6,-30.2,13
IC0000,15,13:51,12,-32.7,-2.73,-3.52,0.333,-1.58,0.88,1.0,2,-33.7,10
IC0000,20,13:51,6,-46.2,-7.7,-7.78,0.0,-6.74,0.62,-4.5,1,-41.7,5
IM0000,5,13:51,26,-38.2,-1.47,-2.23,0.346,-1.24,0.87,-18.4,9,-19.8,17
IM0000,10,13:51,18,-48.4,-2.69,-2.61,0.278,-1.98,0.69,-11.9,6,-36.5,12
IM0000,15,13:51,13,-58.0,-4.46,-3.85,0.154,-3.22,0.57,-11.1,3,-46.9,10
IM0000,20,13:51,7,-32.0,-4.58,-5.47,0.143,-2.37,0.81,0.0,0,-32.0,7
IC0000,5,13:52,23,23.6,1.03,0.99,0.609,0.87,1.46,-2.8,9,26.4,14
IC0000,10,13:52,16,19.6,1.22,0.82,0.562,0.74,1.76,-2.4,7,22.0,9
IC0000,15,13:52,12,14.8,1.23,0.08,0.5,0.56,2.33,-4.0,4,18.8,8
IC0000,20,13:52,8,34.8,4.35,1.89,0.75,1.78,0.99,-0.7,2,35.5,6
IM0000,5,13:52,27,12.3,0.45,-0.45,0.444,0.4,3.09,7.1,9,5.2,18
IM0000,10,13:52,21,33.3,1.59,0.85,0.524,1.24,1.14,9.4,6,24.0,15
IM0000,15,13:52,13,40.7,3.13,0.93,0.538,1.7,0.93,3.5,3,37.1,10
IM0000,20,13:52,7,31.9,4.56,-0.45,0.429,1.5,1.19,-0.5,1,32.4,6
